Centro Platform Portal Campaign > My Audiences Report -- Georgetown University - GMCT-191-18m - Data Segment Report - 20201124_141220 (2)
Date Range: 11/2/2020 to 12/1/2020

Year,Week,Campaign ID,Campaign Name,Start Date,End Date,Segment Name,Imps. Won,Clicks,CTR,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,RFI Form Submit [115930] - CTC,RFI Form Submit [115930] - VTC,RFI Form Submit [115930] - Total Conversions,Application Submit [115931] - CTC,Application Submit [115931] - VTC,Application Submit [115931] - Total Conversions,Application Start [115932] - CTC,Application Start [115932] - VTC,Application Start [115932] - Total Conversions,Virtual Visit Submit [115933] - CTC,Virtual Visit Submit [115933] - VTC,Virtual Visit Submit [115933] - Total Conversions
2020,45,1111,Retargeting,2020-11-05,2020-11-06,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,0,0,%0.0000,35,502,537,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,1,1,0,0,0,35,499,534,0,2,2
2020,47,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Clicks,396,2,%0.5051,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,45,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Conversions,157,1,%0.6369,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,46,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Clicks,279,1,%0.3584,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,48,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,69547,51,%0.0733,0,34,34,%0.0000,%0.0489,%48.8878,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,7,7,0,26,26,0,1,1
2020,45,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Clicks,43,0,%0.0000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,46,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,71190,83,%0.1166,101,1531,1632,%121.6867,%2.1506,%2292.4568,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,7,7,0,0,0,101,1522,1623,0,2,2
2020,48,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Conversions,405,0,%0.0000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,47,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,77107,59,%0.0765,1,37,38,%1.6949,%0.0480,%49.2822,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,5,5,0,1,1,1,29,30,0,2,2
2020,46,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Conversions,415,0,%0.0000,0,9,9,%0.0000,%2.1687,%2168.6747,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,9,9,0,0,0
2020,48,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Clicks,574,7,%1.2195,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,46,1111,Retargeting,2020-11-05,2020-11-06,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,0,0,%0.0000,12,65,77,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,12,64,76,0,1,1
2020,49,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Clicks,160,2,%1.2500,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,49,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,22246,22,%0.0989,0,27,27,%0.0000,%0.1214,%121.3701,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,2,2,0,12,12,0,13,13,0,0,0
2020,45,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_All_Site_Visitors,29142,30,%0.1029,25,691,716,%83.3333,%2.3711,%2456.9350,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,25,690,715,0,1,1
2020,47,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Conversions,467,0,%0.0000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
2020,49,1111,Retargeting,2020-11-05,2020-12-20,4cdf3c6e-8350-462f-bac5-5bfddf22d684 | McCourt_Audience_Capture_Conversions,111,0,%0.0000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,0,0,0,0,0,%0.0000,0,0,0,0,0,0,0,0,0,0,0,0
