SiteScout RTB Domains > Exchanges > Placements Report -- DOMAIN_APP_WITH_STORE_PER_EXCHANGE_PER_PLACEMENT_DAILY_BRAND_report_21_with_pixels.csv
Date Range: 10/1/2023 to 10/2/2023

Date,Brand ID,Brand Name,Group ID,Group Name,Campaign ID,Campaign Name,Start Date,End Date,Domain/App ID,App/Domain Name,App Store,Exchange ID,Exchange Name,Size,Page Position,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue,SO Outlet - Main LPV [166435] - CTC,SO Outlet - Main LPV [166435] - VTC,SO Outlet - Main LPV [166435] - Total Conversions,SO Outlet - Store Locator LPV [166436] - CTC,SO Outlet - Store Locator LPV [166436] - VTC,SO Outlet - Store Locator LPV [166436] - Total Conversions
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648357,LANDAIRSEA002CP_[CPC]_Display_|BT|(Shipping Services)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],App Store,1,Magnite DV+ (Rubicon),1024x768,UNKNOWN,1,0,%0.0000,$3.752580,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.001443,$0.002310,$0.003753,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648355,LANDAIRSEA002CP_[CPC]_Display_|RT|(Search 1st Party)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),120x600,BELOW_THE_FOLD,1,0,%0.0000,$3.257730,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002448,$0.000810,$0.003258,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648355,LANDAIRSEA002CP_[CPC]_Display_|RT|(Search 1st Party)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.092780,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002283,$0.000810,$0.003093,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648355,LANDAIRSEA002CP_[CPC]_Display_|RT|(Search 1st Party)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.340210,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002530,$0.000810,$0.003340,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$3.494850,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002685,$0.000810,$0.003495,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,ABOVE_THE_FOLD,1,0,%0.0000,$2.824740,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002015,$0.000810,$0.002825,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.278350,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002468,$0.000810,$0.003278,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.656600,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002847,$0.000810,$0.003657,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,1,0,%0.0000,$3.556700,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.002747,$0.000810,$0.003557,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
2023-10-01,111970,35ae0e48-630c-4f57-b46f-84503a8152fd - LandAirSea,611183,LANDAIRSEA002CP_[CPA]_Display_Oct_Geo(US),2648356,LANDAIRSEA002CP_[CPC]_Display_|RT|(Site)_Oct_Geo(US),2023-10-01,2023-10-02,[No Domain/App ID],[No App/Domain Name],[No App Store],1,Magnite DV+ (Rubicon),160x600,UNKNOWN,2,0,%0.0000,$3.634025,$0.000000,$0.000000,0,0,0,%0.0000,%0.0000,%0.0000,$0.000000,$0.000000,$0.000000,$0.005648,$0.001620,$0.007268,0,0,0,0,0,%0.0000,-,0,0,0,$0.000000,0,0,0,0,0,0
