Basis DSP Domains > Exchanges > Placements Report -- AUTOMATION
Date Range: 12/1/2020 to 12/1/2020

Date,Brand ID,Brand Name,Group ID,Group Name,Campaign ID,Campaign Name,Start Date,End Date,Domain/App ID,App/Domain Name,Exchange ID,Exchange Name,Size,Page Position,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Total Eligible Imps.,Total Measured Imps.,Total Viewable Imps.,Measured Rate,Viewable Rate,Viewability Fee,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
12/1/20,2222,Dave Smith Cadillac,322154,Dave Smith Cadillac - Dec 2020 - Display - Missoula,1111,Mudd Advertising»2020»131077»Display - Prime Display»DIV»LOC ,12/1/20,12/31/20,realtor.com,realtor.com,1,Rubicon,320x50,unknown,3,0,0.00%,$10.04 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.00 ,$0.03 ,0,0,0,0,0,0.00%,-,3,3,3,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Sun Chevrolet,322853,Sun Chevrolet - Dec 2020 - Display,1111,Mudd Advertising»2020»165295»Display - Retargeting - Silverado»CSIL»RTG,12/1/20,12/31/20,com.naver.linewebtoon,WEBTOON: Comics,14,MoPub,300x250,aboveTheFold,3,0,0.00%,$6.18 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,0,0,0,0,0,0.00%,-,3,3,3,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Sun Chevrolet,322853,Sun Chevrolet - Dec 2020 - Display,1111,Mudd Advertising»2020»165295»Display - Retargeting - Silverado»CSIL»RTG,12/1/20,12/31/20,gearculture.com,gearculture.com,8,Google,728x90,aboveTheFold,2,0,0.00%,$6.18 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,2,2,0,100.00%,0.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Speck Buick GMC,322844,Speck Buick GMC - Dec 2020 - GMC Display,1111,Mudd Advertising»2020»309367»Display - Retargeting»S15»RTG,12/1/20,12/31/20,com.handmark.sportcaster,"CBS Sports App - Scores, News, Stats & Watch Live",8,Google,320x50,aboveTheFold,2,0,0.00%,$7.74 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,0,0,0,0,0,0.00%,-,2,2,2,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Speck Buick GMC,322844,Speck Buick GMC - Dec 2020 - GMC Display,1111,Mudd Advertising»2020»309367»Display - Retargeting»S15»RTG,12/1/20,12/31/20,1357131935,Hearts - Card Game Classic,17,Smaato,320x50,unknown,1,0,0.00%,$7.74 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,1,1,1,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Pogue Chevrolet Buick GMC,322309,Pogue - Dec 2020 - Buick Display,1111,Mudd Advertising»2020»210165»Display - Prime Display»ENC»RTG,12/1/20,12/31/20,weather.com,weather.com,1,Rubicon,300x250,unknown,11,0,0.00%,$7.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.08 ,$0.00 ,$0.08 ,0,0,0,0,0,0.00%,-,11,9,1,81.82%,11.11%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Speck Buick GMC,322844,Speck Buick GMC - Dec 2020 - GMC Display,1111,Mudd Advertising»2020»309367»Display - Retargeting»S15»RTG,12/1/20,12/31/20,sausageroll.com.au,sausageroll.com.au,116,Mediavine,728x90,aboveTheFold,1,0,0.00%,$7.74 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,1,1,1,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Spearfish Motors,322838,Spearfish Motors - Dec 2020 - Display,1111,Mudd Advertising»2020»117893»Display - Retargeting - Sierra»S15»RTG,12/1/20,12/31/20,ew.com,ew.com,8,Google,320x50,belowTheFold,1,0,0.00%,$7.64 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,1,1,1,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Sylvester Chevrolet,322854,Sylvester Chevrolet - Dec 2020 - Display,1111,Mudd Advertising»2020»113940»Display - Retargeting Silverado»CSIL»RTG,12/1/20,12/31/20,bongino.com,bongino.com,1,Rubicon,320x50,unknown,1,0,0.00%,$15.19 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,0,0,0,0,0,0.00%,-,1,1,1,100.00%,100.00%,$0.00 ,0,0,0,$0.00 
12/1/20,2222,Dave Smith Cadillac,322152,Dave Smith Cadillac - Dec 2020 - Display - Washington,1111,Mudd Advertising»2020»131077»Display - Prime Display»DIV»LOC,12/1/20,12/31/20,homelies.football.cbssports.com,homelies.football.cbssports.com,17,Smaato,728x90,unknown,1,0,0.00%,$10.04 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,1,1,0,100.00%,0.00%,$0.00 ,0,0,0,$0.00 
