Basis DSP Domain > Exchange Report -- Solomon Auto Domain Nov Report
Date Range: 11/1/2020 to 11/30/2020

Year,Month,Brand ID,Brand Name,Group ID,Group Name,Campaign ID,Campaign Name,Start Date,End Date,Domain/App ID,App/Domain Name,Exchange ID,Exchange Name,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Total Eligible Imps.,Total Measured Imps.,Total Viewable Imps.,Measured Rate,Viewable Rate,Viewability Fee,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville Content,11/27/20,11/30/20,www3.forbes.com,www3.forbes.com,8,Google,5,0,0.00%,$5.10 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.00 ,$0.03 ,5,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville Content,11/27/20,11/30/20,myhealthgazette.com,myhealthgazette.com,8,Google,12,0,0.00%,$5.98 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.07 ,$0.00 ,$0.07 ,12,1,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321468,Solomon Auto Carmichael Video,1111,Carmichael CTV,11/27/20,11/30/20,tv.pluto.comcastx1,Pluto,110,Unruly (RhythmOne),8,0,0.00%,$38.44 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.31 ,$0.00 ,$0.31 ,8,8,8,8,8,100.00%,$0.04 ,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville Content,11/27/20,11/30/20,justthenews.com,justthenews.com,97,Sharethrough,1,0,0.00%,$5.04 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.01 ,1,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321468,Solomon Auto Carmichael Video,1111,Carmichael Content,11/27/20,11/30/20,355554941,SoundHound - Music Discovery,8,Google,5,0,0.00%,$7.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.04 ,$0.00 ,$0.04 ,5,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville CTV,11/27/20,11/30/20,g15147002586,Samsung TV Plus,77,Telaria,28,0,0.00%,$24.58 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.68 ,$0.00 ,$0.69 ,28,28,28,28,28,100.00%,$0.02 ,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville Content,11/27/20,11/30/20,thespun.com,thespun.com,44,SpotX,3,0,0.00%,$8.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,3,1,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321468,Solomon Auto Carmichael Video,1111,Carmichael Audience,11/27/20,11/30/20,familyminded.com,familyminded.com,8,Google,14,0,0.00%,$12.32 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.16 ,$0.01 ,$0.17 ,14,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321516,Solomon Auto Brownsville Video,1111,Brownsville Audience,11/27/20,11/30/20,wzzm13.com,wzzm13.com,8,Google,1,0,0.00%,$11.25 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,1,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
2020,11,2222,RMS Solomon Auto,321468,Solomon Auto Carmichael Video,1111,Carmichael Audience,11/27/20,11/30/20,lovewhatmatters.com,lovewhatmatters.com,8,Google,10,0,0.00%,$12.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.11 ,$0.01 ,$0.12 ,10,10,7,7,7,70.00%,$0.02 ,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
