Centro Platform Portal Domain Report -- Alurx - ALURX001CP - Delivery/Performance Report - 20201202_084143
Date Range: 10/22/2020 to 12/1/2020

Date,Brand ID,Brand Name,Group ID,Group Name,Campaign ID,Campaign Name,Start Date,End Date,Domain/App ID,App/Domain Name,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Total Eligible Imps.,Total Measured Imps.,Total Viewable Imps.,Measured Rate,Viewable Rate,Viewability Fee,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
11/26/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_DT,11/9/20,11/29/20,thecrazyprogrammer.com,thecrazyprogrammer.com,1,0,0.00%,$2.16 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/19/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_PT,11/9/20,11/29/20,com.peoplefun.blocks2,Blockscapes Sudoku,3,0,0.00%,$1.45 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/19/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_PT,11/9/20,11/29/20,knss.radio.com,knss.radio.com,1,0,0.00%,$1.50 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/21/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_BT (Millennials/GenX),11/9/20,11/29/20,globalfirepower.com,globalfirepower.com,1,0,0.00%,$3.41 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/18/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_BT (Millennials/GenX),11/9/20,11/29/20,9news.com,9news.com,23,0,0.00%,$3.44 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.06 ,$0.02 ,$0.08 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/27/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_PT,11/9/20,11/29/20,famousbirthdays.com,famousbirthdays.com,60,0,0.00%,$1.65 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.08 ,$0.02 ,$0.10 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/27/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_BT (Millennials/GenX),11/9/20,11/29/20,southerndiscourse.com,southerndiscourse.com,1,0,0.00%,$3.51 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/23/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_CCT,11/9/20,11/29/20,lolbeans.io,lolbeans.io,5,0,0.00%,$2.20 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/28/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_DT,11/9/20,11/29/20,1212951043,Woody Block Puzzle Brain Game,109,1,0.92%,$2.07 ,$0.23 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.15 ,$0.07 ,$0.23 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
11/20/20,93391,a2d42392-eed4-47a3-9e1f-df31edab6686 - Alurx,316847,ALURX001CP_[CPA]_Display,1111,ALURX001CP_[CPA]_Display_BT (Health/Wellness),11/9/20,11/29/20,1191435163,Solitaire,103,0,0.00%,$3.67 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.25 ,$0.13 ,$0.38 ,0,0,0,0,0,0.00%,-,0,0,0,0.00%,0.00%,$0.00 ,0,0,0,$0.00 
