Basis DSP Device Type > Device OS Report -- Reporte_DEVICE_OS
Date Range: 11/30/2020 to 12/2/2020 (incomplete)

Date,Campaign ID,Campaign Name,Start Date,End Date,Device Type,Device OS,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
12/1/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Barranquilla,11/18/20,1/18/21,CONNECTED_TV,UNKNOWN,1,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,1,1,1,100.00%,$0.01 ,0,0,0,$0.00 
11/30/20,1111,20CO-1157 G9 Elemental | Movilidad Cali - AUDIO,11/14/20,12/4/20,UNKNOWN,UNKNOWN,2,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,2,2,1,1,1,50.00%,$0.01 ,0,0,0,$0.00 
12/2/20,1111,20CO-1146 G16 Urbansa proyecto NO VIS,11/9/20,12/15/20,DESKTOP,WINDOWS,2,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,2,2,2,2,2,100.00%,$0.00 ,0,0,0,$0.00 
11/30/20,1111,20CO-1151 G16 | Centro Comercial Santafé,11/9/20,11/30/20,DESKTOP,ANDROID,37,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.17 ,$0.00 ,$0.17 ,37,36,36,36,36,97.30%,$0.00 ,0,0,0,$0.00 
12/1/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Barranquilla,11/18/20,1/18/21,DESKTOP,WINDOWS,6,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.04 ,$0.00 ,$0.04 ,6,6,6,6,6,100.00%,$0.01 ,0,0,0,$0.00 
11/30/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Calí,11/18/20,1/18/21,TABLET,ANDROID,3,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,3,3,3,3,3,100.00%,$0.01 ,0,0,0,$0.00 
12/2/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Bogotá,11/18/20,1/18/21,TABLET,ANDROID,1,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,1,1,1,100.00%,$0.01 ,0,0,0,$0.00 
11/30/20,1111,20CO-1157 G9 Elemental | Movilidad Cali - AUDIO,11/14/20,12/4/20,PHONE,IOS,42,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.20 ,$0.00 ,$0.20 ,42,41,41,41,41,97.62%,$0.00 ,0,0,0,$0.00 
11/30/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Manizales,11/18/20,1/18/21,CONNECTED_TV,ANDROID,2,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,2,2,2,2,2,100.00%,$0.01 ,0,0,0,$0.00 
12/1/20,1111,20CO-1193 G16 Universidad Antonio Nariño | Waale - Bogotá,11/18/20,1/18/21,PHONE,IOS,11,0,0.00%,$6.71 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.07 ,$0.00 ,$0.07 ,11,11,11,11,11,100.00%,$0.01 ,0,0,0,$0.00 
12/2/20,1111,20CO-1146 G16 Urbansa proyecto VIS,11/9/20,12/15/20,PHONE,IOS,2,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,2,2,2,2,2,100.00%,$0.00 ,0,0,0,$0.00 
11/30/20,1111,20CO-1169 G16 Cafam Marketplace | Waale,11/12/20,11/30/20,DESKTOP,MAC_OS,5,0,0.00%,$4.67 ,$0.00 ,$0.00 ,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.02 ,$0.00 ,$0.02 ,5,5,4,4,4,80.00%,$0.01 ,0,0,0,$0.00 
