Basis DSP Country > Primary Region > Secondary Region > Zip/Postal Code Report -- DAILY GEO ZIP REPORT ISO
Date Range: 1/17/2020 to 1/20/2020

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Primary Region,Secondary Region,Zip/Postal Code,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
1/17/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88231,158,0,0.00%,$3.99 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.47 ,$0.16 ,$0.63 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88240,4250,2,0.05%,$4.04 ,$8.59 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$12.84 ,$4.34 ,$17.18 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88241,9,0,0.00%,$3.92 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.01 ,$0.04 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88244,247,0,0.00%,$4.15 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.76 ,$0.26 ,$1.02 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88260,834,0,0.00%,$4.05 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$2.55 ,$0.84 ,$3.38 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88231,178,0,0.00%,$3.96 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.53 ,$0.17 ,$0.70 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88240,3702,1,0.03%,$4.01 ,$14.86 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$11.13 ,$3.73 ,$14.86 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88241,9,0,0.00%,$4.08 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.03 ,$0.01 ,$0.04 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88244,378,0,0.00%,$4.10 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$1.15 ,$0.40 ,$1.55 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88260,1120,3,0.27%,$4.06 ,$1.52 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$3.40 ,$1.15 ,$4.55 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
